DOC CODE,DOC DESCRIPTION,PROP,FIRST PARTY,SECOND PARTY,AMOUNT,COMMENTS
CEM,CERTIFICATE OF OWNERSHIP,O,seller (sig.),purchaser,N,"*if doc has cemetery property but is titled other than above, go with the Title.  *If doc has Nothing  to do with Cemetery see CT instructions below for Type  and grantor/grantee"
CT,CERTIFICATE OF PERPETUAL CARE,O,issuer of certificate (sig.),issued to,N,
CT,CERTIFICATE OF PERPETUAL CARE,O,seller (sig.),purchaser,N,"*if doc has cemetery property but is titled other than above, go with the Title.  *If doc has Nothing  to do with Cemetery see CT instructions below for Type  and grantor/grantee"
RED,CERTIFICATE OF REDEMPTION,O,party redeeming,redeemed from,N,
RLF,CERTIFICATE OF RELEASE OF LIEN IMPOSED UNDER THE ANTI-TERRORISM ACT,O,U S A ,Defendant (party being released),N,
CTS,CERTIFICATE OF SALE OF SEIZED PROPERTY,O,issuer of certificate (sig.) & seized from,purchaser,N,
REA,CERTIFICATE OF TERMINATION OF ASSIGNMENT OF CHILD SUPPORT LIEN,O,signature (usually the State) & party claimed against (Obligor),party support payable to (Obligee) (Not the child),N,
TRM,CERTIFICATE OF TERMINATION OF DEVELOPMENT UNIT AGREEMENT (NOT A TERMINATION OF UNIT AGREEMENT),O,signatory party,all original parties who executed the Development Unit Agreement,N,
CT,CERTIFICATE OF TRUST,O,"signatory party and Trust Name, if given","""PUBLIC""",N,
WAS,CERTIFICATION OF OSSF REQUIRING MAINTENANCE,O,"signatory party (usually owner) index all owners named in document, even if not signing ","""PUBLIC""",N,
CT,CERTIFICATION OF TRUST,O,"signatory party and Trust Name, if given","""PUBLIC""",N,
CC,CERTIFIED COPY         (Use CC code only when you cannot identify doc. being certified),O,all signatures,"""PUBLIC""",N,"(Use CC code only when you cannot identify doc. being certified)
There are a few types that will show C C in front of type when keyed.  
Otherwise, Determine what type of document is being certified and use type code & 
instructions for original document. 
If type cannot be determined or multiple docs. combined, use the following
*use certified copy date for i/date
"
TTL,CERTIFIED STATEMENT OF TRANSFER OF TAX LIEN,O,"signatory party & Taxpayer  & taxing authorities, if signing (check for taxing entities signatures among notaries)  (index taxing entities as who is represented: EX. Tax Collector for the City of Greenville OR Betty Sue Smith, Tax Collector for the City of Greenville.  KEY:  Greenville City Of",transferred to,N,
CHD,CHANGE OF DEPOSITORY,O,signature,current lessee & new depository,N,
CN,CHANGE OF NAME,O,Old name,New name,N,*Usually no real estate shown.  *If the doc. is dealing with Articles of Asn. or Certificate of Inc.  use Code and   Instructions for those documents.
OD,"CHANGE OF NAME, COURT ORDERED or APPROVED (this would be a person not a business)",O,Old name,New name,N,*Usually no real estate shown.  *If the doc. is dealing with Articles of Asn. or Certificate of Inc.  use Code and   Instructions for those documents.
M,CHARTER,O,signature (granting charter),granted to,N,*usually no property
CC,"CHARTER, CERTIFIED COPY OF",O,signature (granting charter),granted to,N,*usually no property
FS,CHATTEL MORTGAGE,O,"Debtor (sig., borrower)",Secured party (lender),N,
CSL,CHILD SUPPORT LIEN ,O,signature (usually the State) & party support payable to (Obligee) (not the child),claimed against   (Obligor),N,*Usually no real estate shown  /  Both Obligor & Obligee are always used regardless Of assignment/transfer language used in document.
REA,CHILD SUPPORT LIEN CERTIFICATE OR NOTICE OF TERMINATION OF ASSIGNMENT ,O,signature (usually the State) & party claimed against (Obligor),party support payable to (Obligee) (Not the child),N,
CC,CLASSIFICATION OF SCHOOL LAND,O,signature (the State),Survey Name and parties labeled as Purchasers,N,
MED,CLINIC LIEN,O,signatory party ,claimed against  (injured party),N,
MD,COAL DEED,O,seller,purchaser,N,
OGL,COAL LEASE,O,lessor,lessee,N,
WIL,CODICIL,O,signature (person making codicil),"""PUBLIC""",N,*If combined with other documents go to PROBATE for instructions.
AS,COLLATERAL ASSIGNMENT/TRANSFER ,O,"party assigning (sig.) & borrower, if applies ",assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
ASL,COLLATERAL ASSIGNMENT/TRANSFER OF LEASE,O,"party assigning (sig.) & borrower, if applies ",assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
LC,COMMON LAW LIEN,O,party claiming lien (sig.),"claimed against  Or ""PUBLIC""",N,
POO,COMMUNITIZATION AGREEMENT,O,,,N,*see Pooling Agreement
SET,COMMUNITY PROPERTY SETTLEMENT,O,signatory party  ,other party,N,"*If all sign & no definition made, index all as grantor/grantee"
CT,COMPLETION CERTIFICATE,O,signatory party  ,"issued to  Or ""PUBLIC""",N,
AG,COMPLIANCE CERTIFICATE AND AGREEMENT,O,signature,lender ,N,
CDN,CONDEMNATION JUDGMENT  (CERTIFIED COPY OF),O,Plaintiff (usually City or County),Defendant,N,*use certified copy date for i/date
CDN,CONDEMNATION PROCEEDINGS (CERTIFIED COPY OF),O,Plaintiff (usually City or County),Defendant,N,*use certified copy date for i/date
DCO,CONDOMINIUM DECLARATION,O,owner (sig.) ,Condominium  Name,N,
CON,CONSENT,O,party giving consent (sig.),given to,N,
AAG,CONSENT TO SALE OF SECURITY & ASSUMPTION AGREEMENT,O,"purchaser, borrower (sig.), lender usually signs also, do not index lender as grantor",lender (take from signature area) ,N,
CON,CONSENT& WAIVER,O,party giving consent (sig.),given to,N,
SS,CONSTABLES BILL OF SALE,O,signature & County (show word Constable after both)  & owner (usually defendant),purchaser,N,
SD,CONSTABLES DEED,O,signature & County (show word Constable after both)  & owner (usually defendant),purchaser,N,
CTR,CONTRACT,O,signatory party  ,other party,N,"*IF parties are owner & contractor, key as grantor/grantee respectively. *IF parties are seller & purchaser, key as grantor/grantee respectively. *IF parties are Party of the First Part & Party of the Second Part, key as grantor/grantee respectively. *If all sign & no definition made, index all as grantor/grantee"
CFD,CONTRACT FOR DEED,O,seller (sig.),purchaser,N,
ML,CONTRACT FOR IMPROVEMENTS,O,signature  (owner),"contractor & assigned to party, if any ",N,"Find any one of the following 5 ways to know this is correct title & instructions, otherwise use instructions above. 1.       Assignment or Transfer is in the Title of document (search doc. for assignee) 2.       Deed of Trust or Trust Deed is in the Title of document (search doc. for assignee) 3.       Lender found in the 1st paragraph 4.       Paragraph after signatures, showing assignment & signed by contractor. 5.    Assignment document attached to end of Contract."
ML,CONTRACT FOR IMPROVEMENTS AND TRUST DEED or AND DEED OF TRUST etc.,O,signature  (owner),"contractor & assigned to party, if any ",N,"Find any one of the following 5 ways to know this is correct title & instructions, otherwise use instructions above. 1.       Assignment or Transfer is in the Title of document (search doc. for assignee) 2.       Deed of Trust or Trust Deed is in the Title of document (search doc. for assignee) 3.       Lender found in the 1st paragraph 4.       Paragraph after signatures, showing assignment & signed by contractor. 5.    Assignment document attached to end of Contract."
ML,CONTRACT FOR IMPROVEMENTS WITH ASSIGNMENT,O,signature  (owner),"contractor & assigned to party, if any ",N,"Find any one of the following 5 ways to know this is correct title & instructions, otherwise use instructions above. 1.       Assignment or Transfer is in the Title of document (search doc. for assignee) 2.       Deed of Trust or Trust Deed is in the Title of document (search doc. for assignee) 3.       Lender found in the 1st paragraph 4.       Paragraph after signatures, showing assignment & signed by contractor. 5.    Assignment document attached to end of Contract."
ML,"CONTRACT FOR IMPROVEMENTS WITH DEED OF TRUST, etc.",O,signature  (owner),"contractor & assigned to party, if any ",N,"Find any one of the following 5 ways to know this is correct title & instructions, otherwise use instructions above. 1.       Assignment or Transfer is in the Title of document (search doc. for assignee) 2.       Deed of Trust or Trust Deed is in the Title of document (search doc. for assignee) 3.       Lender found in the 1st paragraph 4.       Paragraph after signatures, showing assignment & signed by contractor. 5.    Assignment document attached to end of Contract."
CS,CONTRACT OF SALE,O,seller (sig.),purchaser,N,IF only purchaser signs Grantor- signature (purchaser)  Grantee- other party (seller)
CS,CONTRACT OF/TO PURCHASE,O,seller (sig.),purchaser,N,IF only purchaser signs Grantor- signature (purchaser)  Grantee- other party (seller)
CV,CONVEYANCE,O,"party assigning (sig.) & borrower, if applicable",assigned to,N,"ALL COUNTIES – IF “CONVEYANCE” IS THE TITLE, USE “CV” CODE.  YOU DO NOT HAVE TO
READ INTO THE DOCUMENT TO SEE IF WHAT IS BEING CONVEYED.  HOWEVER, IF THIS 
TITLE HAS OTHER COMPONENTS THE COMPLETE TITLE SHOULD BE CONSIDERED.
IF NO TITLE YOU MUST READ TO DETERMINE WHAT IS BEING CONVEYED AND CODE
APPROPRIATELY

*If multiple assignments with more than 8 borrowers, do not index any borrowers"
CV,CONVEYANCE & AGREEMENT,O,"party assigning (sig.) & borrower, if applicable",assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
CV,CONVEYANCE & ASSIGNMENT,O,"party assigning (sig.) & borrower, if applicable",assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
AL,CONVEYANCE & ASSIGNMENT OF DEBT & LIEN,O,"signature & borrower, if applicable",conveyed unto,N,"*If multiple conveyances with more than 8 borrowers, do not index any borrowers"
AL,CONVEYANCE & ASSIGNMENT OF LIEN,O,"signature & borrower, if applicable",conveyed unto,N,"*If multiple conveyances with more than 8 borrowers, do not index any borrowers"
CV,CONVEYANCE & BILL OF SALE,O,"signature & borrower, if applicable",conveyed unto,N,"*If multiple conveyances with more than 8 borrowers, do not index any borrowers"
CV,CONVEYANCE & TRANSFER,O,"party assigning (sig.) & borrower, if applicable",assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
TL,CONVEYANCE & TRANSFER OF DEBT & LIEN,O,"signature & borrower, if applicable",conveyed unto,N,"*If multiple conveyances with more than 8 borrowers, do not index any borrowers"
TL,CONVEYANCE & TRANSFER OF LIEN,O,"signature & borrower, if applicable",conveyed unto,N,"*If multiple conveyances with more than 8 borrowers, do not index any borrowers"
CV,CONVEYANCE OF LEASE,O,signatory party,"conveyed to, sold to",N,
CV,CONVEYANCE OF LEASE INTEREST,O,signatory party,"conveyed to, sold to",N,
CV,CONVEYANCE OF LIEN,O,"signature & borrower, if applicable",conveyed unto,N,"*If multiple conveyances with more than 8 borrowers, do not index any borrowers"
MC,CONVEYANCE OF MINERAL AND ROYALTY INTEREST,O,signatory party,"conveyed to, sold to",N,
MC,CONVEYANCE OF MINERALS,O,signatory party,"conveyed to, sold to",N,
ROC,CONVEYANCE OF OVERRIDING ROYALTIES,O,signatory party,"conveyed to, sold to",N,
CV,CONVEYANCE OF PRODUCTION PAYMENT,O,signatory party,"conveyed to, sold to",N,
ROC,CONVEYANCE OF ROYALTIES,O,signatory party,"conveyed to, sold to",N,
MC,CONVEYANCE OF ROYALTY AND MINERAL INTEREST,O,signatory party,"conveyed to, sold to",N,
CV,"CONVEYANCE, ASSIGNMENT & BILL OF SALE",O,"signature & borrower, if applicable",conveyed unto,N,"*If multiple conveyances with more than 8 borrowers, do not index any borrowers"
COR,CORRECTION    (Use COR code only when you cannot identify doc. being corrected),O,all signatures,"""PUBLIC""",N,"**Except for following listings all Corrections will use instructions below.   Determine what type of document is being corrected and use type code & instructions for original document.  *Will Need Reference.  If type cannot be determined or multiple docs. combined, use the following"
COR,CORRECTION AFFIDAVIT -- DEALING WITH CORRECTING A PREVIOUSLY FILED  DOCUMENT OR TO FILE FOR RECORD A LOST OR MISPLACED DOCUMENT.,O,Grantors of original document,Grantee of original document,N,
COR,CORRECTION TO DECLARATION OF CONDOMINIUM   ,O,signatory party (owner) ,Condominium name,N,
COR,CORRECTION TO DEED OF TRUST,O,borrower (sig.),"lender (beneficiary, payable to order of)",N,
COR,CORRECTION TO LEASE,O,lessor (sig.)    ,Current lessee,N,"IF Lessor does not sign, change Type to = COR Grantor-signature    Grantee- other party"
COR,CORRECTION TO MECHANICS LIEN CONTRACT,O,owner,contractor,N,"IF Owner, Contractor & Lender sign, Grantor- owner & Old contractor  Grantee- lender & New contractor.  -   If No New Contractor Signing, Grantor- owner Grantee- lender & contractor"
COR,CORRECTION TO MORTGAGE,O,borrower (sig.) (mortgagor),lender  (mortgagee),N,
COR,CORRECTION TO OIL & GAS LEASE,O,lessor (sig.)    ,Current lessee,N,"IF Lessor does not sign, change Type to = COR Grantor-signature    Grantee- other party"
COR,"CORRECTION TO OIL, GAS & MINERAL LEASE",O,lessor (sig.)    ,Current lessee,N,"IF Lessor does not sign, change Type to = COR Grantor-signature    Grantee- other party"
COR,CORRECTION TO PLAT,O,signatory party (owner),Subdivision name,N,
CV,"COUNTYWIDE OIL, GAS, MINERAL, ROYALTY, REAL PROPERTY  ASSIGNMENT & CONVEYANCE",O,signatory party,conveyed unto,N,
 RS,COVENANTS OF RESTRICTION,O,signature and property name,signature and property name,N,"*needs reference for Amd., Ext., Mod., or Renewal"
AG,CROSS COLLATERIZATION AGREEMENT,O,"signature, all borrowers",lender,N,
DC,DEATH CERTIFICATE   (CERTIFIED COPY OF),O,the deceased   (do Not show Deceased after name),"""PUBLIC""",N,*Use certified copy date for i/date
DEC,DECLARATION,O,signatory party  ,"declared unto  Or ""PUBLIC""",N,"****USE ONLY IF DECLARATION IS IN TITLE, OTHERWISE USE AF"
SI,DECLARATION & CROSS CONVEYANCE OF INTEREST,O,signatory party ,"party stipulated to have interest  Or  ""PUBLIC""",N,
UA,DECLARATION (or DESIGNATION) OF A POOLED UNIT,O,"signature- usually property owner, mineral owner, or royalty owner.
IF Lessee or Operator also sign, index as additional Grantees not Grantors  
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME*** 
Grantor- Lessee","Unit name  OR if no Unit Name index LESSEE (Current Lessee) 
(IF Title shows  Lease Being Ratified, Index both Unit Name & Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
 Grantee- ""PUBLIC""",N,UNIT NAME INFORMATION
DCO,DECLARATION OF CONDOMINIUM,O,owner (sig.) ,Condominium ,N,
DED,DECLARATION OF DEDICATION OF PLACE OR PROPERTY FOR HISTORICAL PURPOSES (USUALLY A CEMETERY),O,"""TEXAS HISTORICAL ASSOCIATION""","owner (if given), cemetery (if involves same) or other place or building as named",N,
WAS,DECLARATION OF DEED NOTICE (AND RESTRICTION),O,signatory party,signatory party,N,
EO,DECLARATION OF EXERCISE OF OPTION TO EXTEND OG&M LEASE,O,signatory party   ,other party           ,N,
DEC,DECLARATION OF FORMATION etc. OF ARCHTECTURAL CONTROL COMMITTEE;    COMMUNITY ASSOCIATION; HOMEOWNERS ASSOCIATION AND OTHER LIKE   SUBDIVISION ASSOCIATIONS,O,signatory party,"association, etc, name (ex. Architectural Control Committee of Restful Shores; Homeowners Association of Willow Bend, or Willow Bend Homeowners Association)",N,
SI,DECLARATION OF INTEREST (Agreement),O,signatory party ,"party stipulated to have interest  Or  ""PUBLIC""",N,
DIF,DECLARATION OF INVALIDITY OF FORECLOSURE SALE,O,signatory party  ,borrower (land reverting to),N,
RS,DECLARATION OF RESTRICTIVE COVENANTS (RESTRICTIONS),O,Company name(s),Company name(s),N,
DEC,DECLARATION OF TAKING,O,signatory party ,party whose property is taken,N,
DTH,DECLARATION OF TOWNHOMES,O,owner (sig.) ,Townhome Name,N,
TUA,DECLARATION OF TRUST,O,signatory party ,Trust Name & trustee appointed (use ‘trustee’ after name),N,
DEC,DECLARATION TO MANAGE AND CONTROL SEPARATE PROPERTY  ****,O,signatory party  ,"declared unto  Or ""PUBLIC""",N,"****USE ONLY IF DECLARATION IS IN TITLE, OTHERWISE USE AF"
DL,DECLINATION,O,signature,"party declined unto   or  ""PUBLIC""",N,
DTI,DECLINATION OF TITLE,O,signature (declining),"declined to, quitclaimed to",N,
DTI,DECLINATION OF TITLE & QUIT CLAIM,O,signature (declining),"declined to, quitclaimed to",N,
OD,DECREE  (CERTIFIED COPY OF),O,signatory party ,issued to &/or about,N,"*IF this is a suit,  Grantor- Plaintiff  -  Grantee- Defendant  *IF this is a single party suit,    Grantee- PUBLIC"
DED,DEDICATION,O,owner (sig.),"dedicated  to  Or ""PUBLIC""",N,"*Check, this may be a PLAT"
DED,DEDICATION OF CEMETERY  (If for Historical Purposes see listing prior page),O,signatory party,"Cemetery Name OR ""PUBLIC""",N,
RS,DEDICATION OF RESTRICTIVE COVENANTS (RESTRICTIONS),O,Company name(s),Company name(s),N,"*needs reference for Amd., Ext., Mod., or Renewal  "
DED,DEDICATION OF STREET,O,owner (sig.),"dedicated to & Street OR, if neither available, ""PUBLIC"" ",N,Grantee – should be indexed as PUBLIC and as the Name of the Street) Grantee – should be indexed as PUBLIC and as the Name of the Street) 
DED,DEDICATION OF STREET AND GRANT OF EASEMENT,O,owner (sig.),"dedicated to & Street OR, if neither available, ""PUBLIC"" ",N,Grantee – should be indexed as PUBLIC and as the Name of the Street) Grantee – should be indexed as PUBLIC and as the Name of the Street) 
DE,DEED,O,seller (sig.),"purchaser  (granted, sold & conveyed unto)",N,
ALD,DEED   ,O,"signatory party, party sig. represents (if other than self) & party assessed against (owner)",purchaser,N, (BY HOMEOWNERS ASSOCIATION) (IN FORECLOSURE FOR NON-PAYMENT)
DE,DEED IN LIEU OF FORECLOSURE,O,seller (sig.),"purchaser  (granted, sold & conveyed unto)",N,
DIT,DEED –IN- TRUST,O,signatory party,party being deeded unto,N,*This is dealing with property used as collateral to do business as a Bail Bondsman. It may be used for purposes other than Bondsman. It is Not to be used for Deeding Property into a Trust.  (DE = Deed) It is Not to be used for a Deed of Trust securing a purchase of real estate. (see listing directly below  DT = Deed of Trust)
RE,DEED OF RECONVEYANCE,O,signature (lender),"being released  (use name in the ‘release statement’ if available, else, use the ‘Note-Deed of Trust executed by:’, ‘ borrower’)",N,
DT,DEED OF TRUST,O,"signature (owner, borrower)","lender  (beneficiary, payable to the order of, justly indebted to)",N,*IF Short Form **needs reference to Master Deed of Trust if given
DT,DEED OF TRUST & ASSIGNMENT OF CONTRACTOR’S LIEN,O,"signature (owner, borrower) & Contractor, if signing","lender & assigned to party, if any",N,
DT,DEED OF TRUST & ASSIGNMENT OF LIEN,O,"signature (owner, borrower) & Contractor, if signing","lender & assigned to party, if any",N,
DT,DEED OF TRUST TO SECURE ASSUMPTION,O,"signature (owner, borrower)","lender/beneficiary, (usually is an individual) Do Not use Payable to the Order of ",N,
DE,"DEED, ASSIGNMENT & BILL OF SALE",O,seller (sig.),"purchaser  (granted, sold & conveyed unto)",N,
SI,DELAY RENTAL STIPULATION,O,"signature, usually the lessor","party directed to pay, usually the current lessee",N,
NO,DEMOLITION ORDER,O,signatory party (usually a city),"property owner & other interested parties (if listed) OR  ""PUBLIC""",N,
LIC,DENTIST LICENSE/CERTIFICATE,O,party issuing certificate,issued to,N,
DEP,DEPUTATION,O,office which deputized person will represent  (ex. Hunt County Sheriff),being deputized,N,
DES,DESIGNATION,O,signatory party ,"other party  Or ""PUBLIC"" , IF Depository involved; current lessee & depository  ",N,
DES,DESIGNATION OF DEPOSITORY,O,signatory party ,"other party  Or ""PUBLIC"" , IF Depository involved; current lessee & depository  ",N,
DO,DESIGNATION OF DEPOSITORY AND RATIFICATION AND RENTAL DIVISION ORDER,O,signatory party ,"other party  Or ""PUBLIC"" , IF Depository involved; current lessee & depository  ",N,
EO,DESIGNATION OF EXTENSION OF PRIMARY TERM OF OIL & GAS LEASE,O,signatory party   ,other party           ,N,
APP,DESIGNATION OF RECEIVER,O,"party doing appointing (sig) & whom they represent & Borrowers, if any",being appointed  (word ‘trustee’ is not needed after name),N,
AT,DESIGNATION OF SUBSTITUTE TRUSTEE,O,"party doing appointing (sig.) & whom they represent & Borrowers, if any",being appointed (word ‘trustee’ not needed after name) ,N,
AT,DESIGNATION OF SUCCESSOR TRUSTEE,O,"party doing appointing (sig.) & whom they represent & Borrowers, if any",being appointed (word ‘trustee’ not needed after name) ,N,
AT,DESIGNATION OF TRUSTEE,O,"party doing appointing (sig.) & whom they represent & Borrowers, if any",being appointed (word ‘trustee’ not needed after name) ,N,
M,DIRECTIVE TO PHYSICIAN,O,signatory party ,"""PUBLIC""",N,{COMAL COUNTY ONLY Use Code DIR}
CC,"DIRECTIVE TO PHYSICIAN, CERTIFIED COPY OF",O,signatory party ,"""PUBLIC""",N,{COMAL COUNTY ONLY Use Code DIR}
ROD,DISABILITIES REMOVED ,O,person for whom Disabilities are to be removed,"""PUBLIC""",N,"*This covers Application, Petition, Order & Judgment"
DCG,DISCHARGE,O,signatory party ,"other party  Or ""PUBLIC""",N,
DB,DISCHARGE OF BANKRUPTCY   (CERTIFIED COPY OF),O,bankrupt party,"""PUBLIC""",N,*use certified copy date for i/date
DB,DISCHARGE OF BANKRUPTCY  (CERTIFIED COPY OF),O,bankrupt party     ,"""PUBLIC""",N,*Use certified copy date for i/date
 RE,DISCHARGE OF LIEN,O,signature (lender),"being released (use name in the ‘release statement’ if available, else, use the ‘Note-Deed of Trust executed by:’, ‘ borrower’)",N,
DCL,DISCLAIMER,O,signatory party ,"Disclaimed to  OR ""PUBLIC""",N,
OD,DISMISSAL OF A SUIT,O,Plaintiff ,Defendant,N,"*IF this is a single party suit,    Grantee- PUBLIC  *use certified copy date as i/date"
DIS,DISSOLUTION,O,signatory party  ,"being dissolved  Or ""PUBLIC""",N,
DIS,DISSOLUTION OF JOINT VENTURE,O,signatory party  ,"being dissolved  Or ""PUBLIC""",N,
DIS,DISSOLUTION OF PARTNERSHIP,O,signatory party  ,"being dissolved  Or ""PUBLIC""",N,
DIS,"DISSOLUTION, CERTIFICATE OF  (Certificate filed with the State)",O,Business being dissolved,"""PUBLIC""",N,
ROC,DISTRIBUTION OF OVERRIDING ROYALTIES,O,signatory party,conveyed to,N,
DE,DISTRIBUTION SURFACE PROPERTY AND MINERAL DEED (WITH/WITHOUT WARRANTY),O,signatory parties,"purchaser  (granted, sold & conveyed unto)",N,
NO,DISTRICT INFORMATION FORM,O,signatory party,"""PUBLIC""",N,
DO,DIVISION ORDER,O,signatory party  ,current lessee AND IF Designation of Depository in Title also index Depository,N,
DO,DIVISION ORDER AND DESIGNATION OF DEPOSITORY,O,signatory party  ,current lessee AND IF Designation of Depository in Title also index Depository,N,
DV,DIVORCE PROCEEDINGS   (CERTIFIED COPY OF),O,Plaintiff  (petitioner),Defendant  (respondent),N,*use certified copy date for i/date
M,DONATION,O,signatory party ,"donated to  Or ""PUBLIC""",N,
GD,DONATION DEED,O,signatory party (party giving),party donated unto,N,
CC,"DONATION, CERTIFIED COPY OF",O,signatory party ,"donated to  Or ""PUBLIC""",N,
AG,DRILLSITE AGREEMENT,O,"signatory parties and Unit Name, if being represented","DRILLSITE AGREEMENT and Subdivision Name, if shown at Title of Document",N,
EM,EASEMENT,O,party granting easement,granted to,N,
EM,EASEMENT & RIGHT OF WAY,O,party granting easement,granted to,N,
EM,EASEMENT AGREEMENT,O,party granting easement,granted to,N,
EMD,EASEMENT DEED,O,party granting easement,granted to,N,"Only select Easement Deed if ""Deed"" is included in the title."
EM,EASEMENT FOR SANITARY CONTROL,O,party granting easement,granted to,N,
EM,"EASEMENT, SPECIAL WARRANTY",O,party granting easement,granted to,N,
AG,ELECTION NOT TO PROBATE WILL,O,signature & deceased party,signature ,N,"Do not need to included ""deceased"" designation if given on document for party name(s)"
 CV,ELECTION NOT TO PROBATE WILL AND CONVEYANCE,O,signature & deceased party,conveyed to party,N,"Do not need to included ""deceased"" designation if given on document for party name(s)"
AF,ELECTION TO MANAGE PROPERTY,O,signatory party,"party declared unto or ""PUBLIC""",N,
AF,"ELECTION TO MANAGE, CONTROL & DISPOSE OF SEPARATE PROPERTY",O,signatory party,"party declared unto or ""PUBLIC""",N,
NO,ELECTION TO RELINQUISH DISABILITIES OF COVERTURE,O,Signatory party,"""PUBLIC""",N,
AG,ENCROACHMENT / ENCROACHMENT AGREEMENT,O,party granting encroachment rights,party receiving rights,N,
FE,ENTIRE DOCUMENT MISSING,N,MS\,MS\,N,Take the recording date from the Prior Document
EST,ESTATE TAX LETTER,O,signature (usually government),decedent,N,
EST,ESTATE TAX LIEN,O,signature (usually government),decedent,N,
EST,ESTATE TAX LIEN RELEASE,O,signature (usually government),decedent,N,
EST,ESTATE TAX RECEIPT,O,signature (usually government),decedent,N,
M,ESTRAY,O,signatory party ,"animal  Or ""PUBLIC""",N,
AF,"ESTRAY, AFFIDAVIT OF OWNERSHIP",O,signatory party ,"""PUBLIC""",N,
CC,"ESTRAY, CERTIFIED COPY OF",O,signatory party ,"animal  Or ""PUBLIC""",N,
NO,"ESTRAY, NOTICE OF",O,signatory party ,"animal  Or ""PUBLIC""",N,
PEW,EXCLUSION FROM EASEMENT                                  ,O,signatory party   ,other party           ,N,
WT,EXECUTION (by itself),O,Plaintiff,"Defendant Or ""PUBLIC""",N,"Grantee-  Defendant (*If this is a 2 party suit),  ""PUBLIC"" (*If this is a 2 party suit) "
EO,EXERCISE OF OPTION                                                   ,O,signatory party   ,other party           ,N,
AT,EXERCISE OF TRUSTEE REMOVAL & REPLACEMENT POWER,O,"signature & Borrower, if applies OR & Trust Name, if applies",being removed & being appointed (show TRUSTEE and SUB TRUSTEE respectively   after names),N,
EXT,EXTENSION                                                                       ,O,"signatory party    (if lien, borrower)","other party           (if lien, lender from sig. area)",N,
LS,EXTENSION & AMENDMENT OF LEASE,O,"signature  (granting extension, lessor)",current lessee,N,"IF Lessor does not sign, change Type to = EXT  Grantor-signature     Grantee- other party"
OGL,"EXTENSION & AMENDMENT OF OIL, GAS & MINERAL LEASE",O,"signature  (granting extension, lessor)",current lessee,N,"IF Lessor does not sign, change Type to = EXT  Grantor-signature     Grantee- other party"
EXT,EXTENSION & MODIFICATION AGREEMENT ,O,"signatory party    (if lien, borrower)","other party           (if lien, lender from sig. area)",N,
EX,EXTENSION & MODIFICATION OF LIEN,O,borrower (sig.),Lender (use from signatory area),N,
EXT,EXTENSION & RENEWAL AGREEMENT                                               ,O,"signatory party    (if lien, borrower)","other party           (if lien, lender from sig. area)",N,
EX,EXTENSION & RENEWAL OF LIEN,O,borrower (sig.),Lender (use from signatory area),N,
EXT,EXTENSION AGREEMENT    ,O,"signatory party    (if lien, borrower)","other party           (if lien, lender from sig. area)",N,
EX,EXTENSION OF DEED OF TRUST,O,borrower (sig.),Lender (use from signatory area),N,
LS,EXTENSION OF LEASE,O,"signature  (granting extension, lessor)",current lessee,N,"IF Lessor does not sign, change Type to = EXT  Grantor-signature     Grantee- other party"
EX,EXTENSION OF LIEN,O,borrower (sig.),Lender (use from signatory area),N,
OGL,"EXTENSION OF OIL, GAS & MINERAL LEASE",O,"signature  (granting extension, lessor)",current lessee,N,"IF Lessor does not sign, change Type to = EXT  Grantor-signature     Grantee- other party"
AS,FARMOUT AGREEMENT AND ASSIGNMENT,O,party assigning (sig.),party assigned to,N,
NLF,FEDERAL LIEN,O,"""U S A""",Defendant,N,
FTL,FEDERAL TAX LIEN,O,"government agency    ""U S A INTERNAL REVENUE SERVICE""",taxpayer,O,
RFT,FEDERAL TAX LIEN RELEASE,O,"government agency    ""U S A INTERNAL REVENUE SERVICE""",taxpayer,N,
FN,FIELD NOTES,O,"sig., usually the Surveyor (show title) & Property Owner (if given)","Property name (survey or subdivision name)   Or ""PUBLIC""",N,*IF there is a owners certificate & the City approval for the Plat then the document    would actually be a PL = PLAT at this time we have seen Only 1 like this in Hunt    backfile/re-indexing  (time – 02/06/2009)
FS,FINANCING STATEMENT,O,debtor (sig.),"lender (secured party) & assignee, if applies",N,*needs reference if continuation
FSA,FINANCING STATEMENT – ASSIGNMENT,O,lender (sig.) & Debtor,assigned to,N,
FS,FINANCING STATEMENT – NOTICE OF UCC,O,"signature & who represented, if any",Other party,N,
FSA,FINANCING STATEMENT – PARTIAL ASSIGNMENT,O,lender (sig.) & Debtor,assigned to,N,
FSP,FINANCING STATEMENT – PARTIAL RELEASE,O,signature (lender),debtor,N,
FSR,FINANCING STATEMENT – RELEASE/TERMINATION,O,signature (lender),debtor,N,
